coin_id,coin_name,price_usd,fetched_at
bitcoin,Bitcoin,66180.00000000,2026-03-28T05:22:02.697Z
ethereum,Ethereum,1987.61000000,2026-03-28T05:22:02.706Z
ripple,XRP,1.33000000,2026-03-28T05:22:02.712Z
solana,Solana,82.41000000,2026-03-28T05:22:02.717Z
dogecoin,Dogecoin,0.08982000,2026-03-28T05:22:02.723Z
bitcoin,Bitcoin,66189.00000000,2026-03-28T05:22:02.729Z
ethereum,Ethereum,1988.14000000,2026-03-28T05:22:02.734Z
ripple,XRP,1.33000000,2026-03-28T05:22:02.740Z
solana,Solana,82.43000000,2026-03-28T05:22:02.746Z
dogecoin,Dogecoin,0.08981400,2026-03-28T05:22:02.751Z
bitcoin,Bitcoin,66180.00000000,2026-03-28T05:34:41.856Z
ethereum,Ethereum,1987.61000000,2026-03-28T05:34:41.864Z
ripple,XRP,1.33000000,2026-03-28T05:34:41.869Z
solana,Solana,82.41000000,2026-03-28T05:34:41.874Z
dogecoin,Dogecoin,0.08982000,2026-03-28T05:34:41.880Z
bitcoin,Bitcoin,66189.00000000,2026-03-28T05:34:41.885Z
ethereum,Ethereum,1988.14000000,2026-03-28T05:34:41.891Z
ripple,XRP,1.33000000,2026-03-28T05:34:41.897Z
solana,Solana,82.43000000,2026-03-28T05:34:41.904Z
dogecoin,Dogecoin,0.08981400,2026-03-28T05:34:41.910Z
bitcoin,Bitcoin,66311.00000000,2026-03-28T05:34:41.915Z
ethereum,Ethereum,1991.54000000,2026-03-28T05:34:41.921Z
ripple,XRP,1.34000000,2026-03-28T05:34:41.928Z
solana,Solana,82.61000000,2026-03-28T05:34:41.933Z
dogecoin,Dogecoin,0.09005500,2026-03-28T05:34:41.938Z
bitcoin,Bitcoin,66314.00000000,2026-03-28T05:55:13.759Z
ethereum,Ethereum,1992.86000000,2026-03-28T05:55:13.776Z
ripple,XRP,1.34000000,2026-03-28T05:55:13.783Z
solana,Solana,82.66000000,2026-03-28T05:55:13.790Z
dogecoin,Dogecoin,0.09018900,2026-03-28T05:55:13.796Z
bitcoin,Bitcoin,66314.00000000,2026-03-29T05:57:49.202Z
ethereum,Ethereum,1992.86000000,2026-03-29T05:57:49.223Z
ripple,XRP,1.34000000,2026-03-29T05:57:49.225Z
solana,Solana,82.66000000,2026-03-29T05:57:49.228Z
dogecoin,Dogecoin,0.09018900,2026-03-29T05:57:49.230Z
bitcoin,Bitcoin,66737.00000000,2026-03-29T05:57:49.232Z
ethereum,Ethereum,2004.67000000,2026-03-29T05:57:49.235Z
ripple,XRP,1.33000000,2026-03-29T05:57:49.237Z
solana,Solana,82.68000000,2026-03-29T05:57:49.240Z
dogecoin,Dogecoin,0.09099200,2026-03-29T05:57:49.242Z
